,T,Sigma,r
197,786146.20435374288,10.697693554108545,2.1454482671904334
198,1178433.1603262606,24.132532198595484,2.1454482671904334
199,1570720.1162987782,41.217432193427946,2.1454482671904334
200,1963007.0722712961,60.913626007485000,2.1454482671904334
201,2355294.0282438137,82.627916201485405,2.1454482671904334
202,2747580.9842163310,106.02337856207254,2.1454482671904334
203,3139867.9401888489,130.88587859301097,2.1454482671904334
204,3532154.8961613667,157.05784871906596,2.1454482671904334
205,3924441.8521338841,184.40859385419802,2.1454482671904334
206,4316728.8081064010,212.82100540966272,2.1454482671904334
207,4709015.7640789198,242.18530385863770,2.1454482671904334
208,5101302.7200514376,272.39582319051448,2.1454482671904334
209,5493589.6760239555,303.34916312502429,2.1454482671904334
210,5885876.6319964742,334.94298960605437,2.1454482671904334
211,6278163.5879689921,367.07516095453053,2.1454482671904334
212,6670450.5439415099,399.64302646892907,2.1454482671904334
213,7062737.4999140287,432.54281917690594,2.1454482671904334
214,7455024.4558865465,465.66909886191797,2.1454482671904334
215,7847311.4118590644,498.91421786872297,2.1454482671904334
216,8239598.3678315822,532.16779014452140,2.1454482671904334
217,8631885.3238041010,565.31614773726005,2.1454482671904334
218,9024172.2797766197,598.24177046268494,2.1454482671904334
219,9416459.2357491367,630.82267453278064,2.1454482671904334
220,9808746.1917216554,662.93174497667542,2.1454482671904334
221,10201033.147694174,694.43599478590806,2.1454482671904334
222,10593320.103666691,725.19573082231011,2.1454482671904334
223,10985607.059639210,755.06360245270821,2.1454482671904334
224,11377894.015611727,783.88350329992306,2.1454482671904334
225,11770180.971584246,811.48928893507889,2.1454482671904334
226,12162467.927556764,837.70326305777439,2.1454482671904334
227,12554754.883529281,862.33437064851364,2.1454482671904334
228,12947041.839501800,885.17601713797580,2.1454482671904334
229,13339328.795474319,906.00340541045227,2.1454482671904334
230,13731615.751446836,924.57024373538991,2.1454482671904334
231,14123902.707419354,940.60462167487015,2.1454482671904334
232,14516189.663391873,953.80376827646046,2.1454482671904334
233,14908476.619364390,963.82728196570361,2.1454482671904334
234,15300763.575336909,970.28822821771860,2.1454482671904334
235,15693050.531309428,972.74119314239056,2.1454482671904334
236,16085337.487281943,970.66587434860185,2.1454482671904334
237,16477624.443254462,963.44392448303768,2.1454482671904334
238,16869911.399226978,950.32521655989490,2.1454482671904334
239,17262198.355199497,930.37679165454517,2.1454482671904334
240,18439059.223117054,815.34096177564356,2.1454482671904334
241,19615920.091034606,547.20224589652673,2.1454482671904334
242,20008207.047007125,364.99278573469786,2.1454482671904334
243,786146.20435374288,11.472360429688194,2.2281277591147446
244,1178433.1603262606,25.785987756445934,2.2281277591147446
245,1570720.1162987782,43.913558467943076,2.2281277591147446
246,1963007.0722712961,64.761936874277424,2.2281277591147446
247,2355294.0282438137,87.718211553101412,2.2281277591147446
248,2747580.9842163310,112.43541768593300,2.2281277591147446
249,3139867.9401888489,138.69074124069289,2.2281277591147446
250,3532154.8961613667,166.31762372912016,2.2281277591147446
251,3924441.8521338841,195.17599346926986,2.2281277591147446
252,4316728.8081064010,225.13910709403564,2.2281277591147446
253,4709015.7640789198,256.08736435309572,2.2281277591147446
254,5101302.7200514376,287.90510193033919,2.2281277591147446
255,5493589.6760239555,320.47871680691566,2.2281277591147446
256,5885876.6319964742,353.69541770497443,2.2281277591147446
257,6278163.5879689921,387.44229146926790,2.2281277591147446
258,6670450.5439415099,421.60553524423773,2.2281277591147446
259,7062737.4999140287,456.06977725322406,2.2281277591147446
260,7455024.4558865465,490.71744181439328,2.2281277591147446
261,7847311.4118590644,525.42812969189788,2.2281277591147446
262,8239598.3678315822,560.07799220472793,2.2281277591147446
263,8631885.3238041010,594.53908072535012,2.2281277591147446
264,9024172.2797766197,628.67865408260059,2.2281277591147446
265,9416459.2357491367,662.35842571385092,2.2281277591147446
266,9808746.1917216554,695.43373047279260,2.2281277591147446
267,10201033.147694174,727.75258779924150,2.2281277591147446
268,10593320.103666691,759.15463331086482,2.2281277591147446
269,10985607.059639210,789.46988441737903,2.2281277591147446
270,11377894.015611727,818.51729670332202,2.2281277591147446
271,11770180.971584246,846.10305569863385,2.2281277591147446
