,T,Sigma,r
26678,4216023.4614675902,1551.7209020046230,9.5866025403784434
26679,4254700.7998271817,1563.1695060143277,9.5866025403784434
26680,4293378.1381867733,1574.2812387323927,9.5866025403784434
26681,4332055.4765463648,1585.0441390931480,9.5866025403784434
26682,4370732.8149059564,1595.4458934810420,9.5866025403784434
26683,4409410.1532655479,1605.4738162620481,9.5866025403784434
26684,4448087.4916251395,1615.1148288656832,9.5866025403784434
26685,4486764.8299847320,1624.3554372762937,9.5866025403784434
26686,4525442.1683443235,1633.1817077719293,9.5866025403784434
26687,4564119.5067039151,1641.5792407556592,9.5866025403784434
26688,4602796.8450635066,1649.5331424578194,9.5866025403784434
26689,4641474.1834230982,1657.0279943172552,9.5866025403784434
26690,4680151.5217826897,1664.0478197753416,9.5866025403784434
26691,4718828.8601422813,1670.5760482165606,9.5866025403784434
26692,4757506.1985018728,1676.5954757315847,9.5866025403784434
26693,4796183.5368614644,1682.0882223590770,9.5866025403784434
26694,4834860.8752210559,1687.0356853894725,9.5866025403784434
26695,4873538.2135806475,1691.4184882719278,9.5866025403784434
26696,4912215.5519402390,1695.2164246005470,9.5866025403784434
26697,4950892.8902998315,1698.4083965672671,9.5866025403784434
26698,4989570.2286594231,1700.9723471905513,9.5866025403784434
26699,5028247.5670190146,1702.8851855153298,9.5866025403784434
26700,5066924.9053786062,1704.1227038474992,9.5866025403784434
26701,5105602.2437381977,1704.6594859508918,9.5866025403784434
26702,5144279.5820977893,1704.4688049393922,9.5866025403784434
26703,5182956.9204573808,1703.5225093944282,9.5866025403784434
26704,5221634.2588169724,1701.7908959646188,9.5866025403784434
26705,5260311.5971765639,1699.2425664092154,9.5866025403784434
26706,5298988.9355361555,1695.8442666565304,9.5866025403784434
26707,5337666.2738957470,1691.5607049739644,9.5866025403784434
26708,5376343.6122553395,1686.3543458072156,9.5866025403784434
26709,5415020.9506149311,1680.1851750982614,9.5866025403784434
26710,5453698.2889745226,1673.0104320496209,9.5866025403784434
26711,5492375.6273341142,1664.7843011882974,9.5866025403784434
26712,5531052.9656937057,1655.4575571885748,9.5866025403784434
26713,5569730.3040532973,1644.9771531683318,9.5866025403784434
26714,5608407.6424128888,1633.2857409024793,9.5866025403784434
26715,5647084.9807724804,1620.3211084838701,9.5866025403784434
26716,5685762.3191320719,1606.0155171515348,9.5866025403784434
26717,5724439.6574916635,1590.2949139907139,9.5866025403784434
26718,5763116.9958512550,1573.0779905301069,9.5866025403784434
26719,5801794.3342108466,1554.2750482370511,9.5866025403784434
26720,5840471.6725704391,1533.7866196344896,9.5866025403784434
26721,5879149.0109300306,1511.5017767281336,9.5866025403784434
26722,5917826.3492896222,1487.2960345269746,9.5866025403784434
26723,5956503.6876492137,1461.0287232700773,9.5866025403784434
26724,5995181.0260088053,1432.5396532631569,9.5866025403784434
26725,6033858.3643683968,1401.6448224042158,9.5866025403784434
26726,6072535.7027279884,1368.1308043579140,9.5866025403784434
26727,6111213.0410875799,1331.7472805982807,9.5866025403784434
26728,6149890.3794471715,1292.1968993495534,9.5866025403784434
26729,6188567.7178067630,1249.1211799863029,9.5866025403784434
26730,6227245.0561663546,1202.0803818371066,9.5866025403784434
26731,6265922.3945259470,1150.5238171899941,9.5866025403784434
26732,6304599.7328855386,1093.7443583816016,9.5866025403784434
26733,6343277.0712451302,1030.8053717710852,9.5866025403784434
26734,6381954.4096047217,960.41625558073201,9.5866025403784434
26735,6420631.7479643133,880.70366862061701,9.5866025403784434
26736,6459309.0863239048,788.74552168197249,9.5866025403784434
26737,6497986.4246834964,679.47034272241524,9.5866025403784434
26738,6536663.7630430879,542.36247496654198,9.5866025403784434
26739,6575341.1014026795,345.52191825236224,9.5866025403784434
26740,232257.61042962116,13.453767424245076,9.6692820323027551
26741,270934.94878921297,18.751893573375646,9.6692820323027551
26742,309612.28714880481,24.867334124176342,9.6692820323027551
26743,348289.62550839671,31.745114557435187,9.6692820323027551
26744,386966.96386798855,39.327128834236802,9.6692820323027551
26745,425644.30222758040,47.555475643873692,9.6692820323027551
26746,464321.64058717224,56.374777022671850,9.6692820323027551
26747,502998.97894676414,65.733642354681081,9.6692820323027551
26748,541676.31730635592,75.585450773210624,9.6692820323027551
26749,580353.65566594782,85.888622054580694,9.6692820323027551
26750,619030.99402553961,96.606529984401362,9.6692820323027551
26751,657708.33238513151,107.70718734227158,9.6692820323027551
26752,696385.67074472341,119.16280339330267,9.6692820323027551
26753,735063.00910431519,130.94928745257960,9.6692820323027551
26754,773740.34746390709,143.04574841102254,9.6692820323027551
26755,812417.68582349888,155.43402123748857,9.6692820323027551
26756,851095.02418309078,168.09823747338544,9.6692820323027551
26757,889772.36254268256,181.02444700322408,9.6692820323027551
26758,928449.70090227446,194.20029208094260,9.6692820323027551
26759,967127.03926186624,207.61473083412210,9.6692820323027551
26760,1005804.3776214583,221.25780550332945,9.6692820323027551
26761,1044481.7159810500,235.12044985593852,9.6692820323027551
26762,1083159.0543406419,249.19433016881024,9.6692820323027551
26763,1121836.3927002337,263.47171449094475,9.6692820323027551
26764,1160513.7310598255,277.94536545963098,9.6692820323027551
26765,1199191.0694194175,292.60845255557285,9.6692820323027551
26766,1237868.4077790093,307.45448029441945,9.6692820323027551
26767,1276545.7461386011,322.47722942692297,9.6692820323027551
26768,1315223.0844981931,337.67070872274411,9.6692820323027551
26769,1353900.4228577849,353.02911534238871,9.6692820323027551
26770,1392577.7612173767,368.54680217584388,9.6692820323027551
26771,1431255.0995769685,384.21825082430314,9.6692820323027551
26772,1469932.4379365605,400.03804916270735,9.6692820323027551
26773,1508609.7762961523,416.00087260460725,9.6692820323027551
26774,1547287.1146557441,432.10146839027209,9.6692820323027551
26775,1585964.4530153358,448.33464231281664,9.6692820323027551
26776,1624641.7913749279,464.69524744896557,9.6692820323027551
26777,1663319.1297345196,481.17817450929658,9.6692820323027551
26778,1701996.4680941114,497.77834351991248,9.6692820323027551
26779,1740673.8064537034,514.49069659180475,9.6692820323027551
26780,1779351.1448132952,531.31019158109143,9.6692820323027551
26781,1818028.4831728870,548.23179648503094,9.6692820323027551
26782,1856705.8215324788,565.25048443564447,9.6692820323027551
26783,1895383.1598920708,582.36122919840716,9.6692820323027551
26784,1934060.4982516626,599.55900107173852,9.6692820323027551
26785,1972737.8366112544,616.83876313449946,9.6692820323027551
26786,2011415.1749708464,634.19546776003722,9.6692820323027551
26787,2050092.5133304386,651.62405337526923,9.6692820323027551
26788,2088769.8516900307,669.11944139377283,9.6692820323027551
26789,2127447.1900496227,686.67653331636086,9.6692820323027551
26790,2166124.5284092147,704.29020794570704,9.6692820323027551
26791,2204801.8667688067,721.95531871240951,9.6692820323027551
26792,2243479.2051283987,739.66669107665598,9.6692820323027551
26793,2282156.5434879907,757.41911999049398,9.6692820323027551
26794,2320833.8818475828,775.20736741288817,9.6692820323027551
26795,2359511.2202071752,793.02615984954809,9.6692820323027551
26796,2398188.5585667673,810.87018592337790,9.6692820323027551
26797,2436865.8969263593,828.73409395079796,9.6692820323027551
26798,2475543.2352859513,846.61248951219773,9.6692820323027551
26799,2514220.5736455433,864.49993302890664,9.6692820323027551
26800,2552897.9120051353,882.39093731018647,9.6692820323027551
26801,2591575.2503647273,900.27996508328113,9.6692820323027551
26802,2630252.5887243194,918.16142648826917,9.6692820323027551
26803,2668929.9270839114,936.02967653642918,9.6692820323027551
26804,2707607.2654435034,953.87901252167569,9.6692820323027551
26805,2746284.6038030959,971.70367138116558,9.6692820323027551
26806,2784961.9421626879,989.49782699594607,9.6692820323027551
26807,2823639.2805222799,1007.2555874257837,9.6692820323027551
26808,2862316.6188818719,1024.9709920736059,9.6692820323027551
26809,2900993.9572414639,1042.6380087658761,9.6692820323027551
26810,2939671.2956010560,1060.2505307521533,9.6692820323027551
26811,2978348.6339606480,1077.8023736082077,9.6692820323027551
26812,3017025.9723202400,1095.2872720381124,9.6692820323027551
26813,3055703.3106798320,1112.6988765649028,9.6692820323027551
26814,3094380.6490394240,1130.0307501097880,9.6692820323027551
26815,3133057.9873990160,1147.2763644384208,9.6692820323027551
26816,3171735.3257586085,1164.4290964768238,9.6692820323027551
26817,3210412.6641182005,1181.4822244793786,9.6692820323027551
26818,3249090.0024777926,1198.4289240430153,9.6692820323027551
26819,3287767.3408373846,1215.2622639558692,9.6692820323027551
26820,3326444.6791969766,1231.9752018641118,9.6692820323027551
26821,3365122.0175565686,1248.5605797576090,9.6692820323027551
26822,3403799.3559161606,1265.0111192385612,9.6692820323027551
26823,3442476.6942757526,1281.3194165874677,9.6692820323027551
26824,3481154.0326353447,1297.4779375853477,9.6692820323027551
26825,3519831.3709949367,1313.4790120896271,9.6692820323027551
26826,3558508.7093545292,1329.3148283480316,9.6692820323027551
26827,3597186.0477141212,1344.9774270185683,9.6692820323027551
26828,3635863.3860737132,1360.4586948884182,9.6692820323027551
26829,3674540.7244333052,1375.7503582656757,9.6692820323027551
26830,3713218.0627928972,1390.8439760119966,9.6692820323027551
26831,3751895.4011524892,1405.7309322044352,9.6692820323027551
26832,3790572.7395120813,1420.4024283860449,9.6692820323027551
26833,3829250.0778716733,1434.8494753792011,9.6692820323027551
26834,3867927.4162312653,1449.0628846329441,9.6692820323027551
26835,3906604.7545908568,1463.0332590548342,9.6692820323027551
26836,3945282.0929504489,1476.7509833064503,9.6692820323027551
26837,3983959.4313100404,1490.2062135019341,9.6692820323027551
26838,4022636.7696696320,1503.3888662691650,9.6692820323027551
26839,4061314.1080292235,1516.2886071259964,9.6692820323027551
26840,4099991.4463888151,1528.8948381083446,9.6692820323027551
26841,4138668.7847484071,1541.1966845868938,9.6692820323027551
26842,4177346.1231079986,1553.1829812105366,9.6692820323027551
26843,4216023.4614675902,1564.8422568898488,9.6692820323027551
26844,4254700.7998271817,1576.1627187495642,9.6692820323027551
26845,4293378.1381867733,1587.1322349431946,9.6692820323027551
26846,4332055.4765463648,1597.7383162391759,9.6692820323027551
26847,4370732.8149059564,1607.9680962553866,9.6692820323027551
26848,4409410.1532655479,1617.8083102214785,9.6692820323027551
